"Gate実行ID","候補ID","正規エクスポージャーID","エクスポージャー群ID","取引手段ID","シンボル","取引所またはVenue","Broker","資産クラス","リスク群","代替グループID","最終Gate分類","HardGate状態","G1日本Broker利用可否","G2_API注文口座","G3_LongShort","G4契約仕様","G5_50万円資金適合","G5_75万円資金適合","G5_100万円資金適合","G6流動性スプレッド","G7データ可否費用","G8運用リスク","G9規制税務","G10_Biasデータ完全性","最小数量1N円リスク","二Nストップ損失円","ギャップストレス損失円","四Unit理論ストップ損失円","不足している重要情報","必要証拠ID一覧","Gate理由","計算版","基準日","確認日時","確認者ロール","レビューメモ"
"GTE-P06-20260802-0001","CAN-EXP-EQ-US-SP500-ES-IBSJ","EXP-EQ-US-SP500","CLU-EXP-EQ-US-SP500","VEH-ES","ES","CME","Interactive Brokers Securities Japan Inc.","株価指数","再構成リスク群","PG-株価指数","証拠不足","証拠不足","証拠不足","プラットフォーム確認済み・銘柄単位は未確認","証拠不足","証拠不足","証拠不足","証拠不足","証拠不足","証拠不足","証拠不足","証拠不足","証拠不足","証拠不足","","","","","N/ATR;現在価格;契約倍率;ティックサイズ;最小数量;当初証拠金;維持証拠金;手数料;スプレッド;データ費用;銘柄単位の日本居住者利用可否","EVD-P04-0001;EVD-P04-0002","不適格確定ではなく、重要数値と利用可否の証拠が不足しているため保留","P06-v0.1-日本語再構成","2026-08-02","2026-08-02T15:44:17.6495541+09:00","実行可能性・資金Gate分析者","日本語化時に再構成。公式証拠で再確認が必要"
"GTE-P06-20260802-0001","CAN-EXP-EQ-US-SP500-MES-IBSJ","EXP-EQ-US-SP500","CLU-EXP-EQ-US-SP500","VEH-MES","MES","CME","Interactive Brokers Securities Japan Inc.","株価指数","再構成リスク群","PG-株価指数","証拠不足","証拠不足","証拠不足","プラットフォーム確認済み・銘柄単位は未確認","証拠不足","証拠不足","証拠不足","証拠不足","証拠不足","証拠不足","証拠不足","証拠不足","証拠不足","証拠不足","","","","","N/ATR;現在価格;契約倍率;ティックサイズ;最小数量;当初証拠金;維持証拠金;手数料;スプレッド;データ費用;銘柄単位の日本居住者利用可否","EVD-P04-0001;EVD-P04-0002","不適格確定ではなく、重要数値と利用可否の証拠が不足しているため保留","P06-v0.1-日本語再構成","2026-08-02","2026-08-02T15:44:17.6495541+09:00","実行可能性・資金Gate分析者","日本語化時に再構成。公式証拠で再確認が必要"
"GTE-P06-20260802-0001","CAN-EXP-EQ-US-NASDAQ100-NQ-IBSJ","EXP-EQ-US-NASDAQ100","CLU-EXP-EQ-US-NASDAQ100","VEH-NQ","NQ","CME","Interactive Brokers Securities Japan Inc.","株価指数","再構成リスク群","PG-株価指数","証拠不足","証拠不足","証拠不足","プラットフォーム確認済み・銘柄単位は未確認","証拠不足","証拠不足","証拠不足","証拠不足","証拠不足","証拠不足","証拠不足","証拠不足","証拠不足","証拠不足","","","","","N/ATR;現在価格;契約倍率;ティックサイズ;最小数量;当初証拠金;維持証拠金;手数料;スプレッド;データ費用;銘柄単位の日本居住者利用可否","EVD-P04-0001;EVD-P04-0002","不適格確定ではなく、重要数値と利用可否の証拠が不足しているため保留","P06-v0.1-日本語再構成","2026-08-02","2026-08-02T15:44:17.6495541+09:00","実行可能性・資金Gate分析者","日本語化時に再構成。公式証拠で再確認が必要"
"GTE-P06-20260802-0001","CAN-EXP-EQ-US-NASDAQ100-MNQ-IBSJ","EXP-EQ-US-NASDAQ100","CLU-EXP-EQ-US-NASDAQ100","VEH-MNQ","MNQ","CME","Interactive Brokers Securities Japan Inc.","株価指数","再構成リスク群","PG-株価指数","証拠不足","証拠不足","証拠不足","プラットフォーム確認済み・銘柄単位は未確認","証拠不足","証拠不足","証拠不足","証拠不足","証拠不足","証拠不足","証拠不足","証拠不足","証拠不足","証拠不足","","","","","N/ATR;現在価格;契約倍率;ティックサイズ;最小数量;当初証拠金;維持証拠金;手数料;スプレッド;データ費用;銘柄単位の日本居住者利用可否","EVD-P04-0001;EVD-P04-0002","不適格確定ではなく、重要数値と利用可否の証拠が不足しているため保留","P06-v0.1-日本語再構成","2026-08-02","2026-08-02T15:44:17.6495541+09:00","実行可能性・資金Gate分析者","日本語化時に再構成。公式証拠で再確認が必要"
"GTE-P06-20260802-0001","CAN-EXP-EQ-US-DOW-YM-IBSJ","EXP-EQ-US-DOW","CLU-EXP-EQ-US-DOW","VEH-YM","YM","CME","Interactive Brokers Securities Japan Inc.","株価指数","再構成リスク群","PG-株価指数","証拠不足","証拠不足","証拠不足","プラットフォーム確認済み・銘柄単位は未確認","証拠不足","証拠不足","証拠不足","証拠不足","証拠不足","証拠不足","証拠不足","証拠不足","証拠不足","証拠不足","","","","","N/ATR;現在価格;契約倍率;ティックサイズ;最小数量;当初証拠金;維持証拠金;手数料;スプレッド;データ費用;銘柄単位の日本居住者利用可否","EVD-P04-0001;EVD-P04-0002","不適格確定ではなく、重要数値と利用可否の証拠が不足しているため保留","P06-v0.1-日本語再構成","2026-08-02","2026-08-02T15:44:17.6495541+09:00","実行可能性・資金Gate分析者","日本語化時に再構成。公式証拠で再確認が必要"
"GTE-P06-20260802-0001","CAN-EXP-EQ-US-DOW-MYM-IBSJ","EXP-EQ-US-DOW","CLU-EXP-EQ-US-DOW","VEH-MYM","MYM","CME","Interactive Brokers Securities Japan Inc.","株価指数","再構成リスク群","PG-株価指数","証拠不足","証拠不足","証拠不足","プラットフォーム確認済み・銘柄単位は未確認","証拠不足","証拠不足","証拠不足","証拠不足","証拠不足","証拠不足","証拠不足","証拠不足","証拠不足","証拠不足","","","","","N/ATR;現在価格;契約倍率;ティックサイズ;最小数量;当初証拠金;維持証拠金;手数料;スプレッド;データ費用;銘柄単位の日本居住者利用可否","EVD-P04-0001;EVD-P04-0002","不適格確定ではなく、重要数値と利用可否の証拠が不足しているため保留","P06-v0.1-日本語再構成","2026-08-02","2026-08-02T15:44:17.6495541+09:00","実行可能性・資金Gate分析者","日本語化時に再構成。公式証拠で再確認が必要"
"GTE-P06-20260802-0001","CAN-EXP-EQ-US-RUSSELL2000-RTY-IBSJ","EXP-EQ-US-RUSSELL2000","CLU-EXP-EQ-US-RUSSELL2000","VEH-RTY","RTY","CME","Interactive Brokers Securities Japan Inc.","株価指数","再構成リスク群","PG-株価指数","証拠不足","証拠不足","証拠不足","プラットフォーム確認済み・銘柄単位は未確認","証拠不足","証拠不足","証拠不足","証拠不足","証拠不足","証拠不足","証拠不足","証拠不足","証拠不足","証拠不足","","","","","N/ATR;現在価格;契約倍率;ティックサイズ;最小数量;当初証拠金;維持証拠金;手数料;スプレッド;データ費用;銘柄単位の日本居住者利用可否","EVD-P04-0001;EVD-P04-0002","不適格確定ではなく、重要数値と利用可否の証拠が不足しているため保留","P06-v0.1-日本語再構成","2026-08-02","2026-08-02T15:44:17.6495541+09:00","実行可能性・資金Gate分析者","日本語化時に再構成。公式証拠で再確認が必要"
"GTE-P06-20260802-0001","CAN-EXP-EQ-US-RUSSELL2000-M2K-IBSJ","EXP-EQ-US-RUSSELL2000","CLU-EXP-EQ-US-RUSSELL2000","VEH-M2K","M2K","CME","Interactive Brokers Securities Japan Inc.","株価指数","再構成リスク群","PG-株価指数","証拠不足","証拠不足","証拠不足","プラットフォーム確認済み・銘柄単位は未確認","証拠不足","証拠不足","証拠不足","証拠不足","証拠不足","証拠不足","証拠不足","証拠不足","証拠不足","証拠不足","","","","","N/ATR;現在価格;契約倍率;ティックサイズ;最小数量;当初証拠金;維持証拠金;手数料;スプレッド;データ費用;銘柄単位の日本居住者利用可否","EVD-P04-0001;EVD-P04-0002","不適格確定ではなく、重要数値と利用可否の証拠が不足しているため保留","P06-v0.1-日本語再構成","2026-08-02","2026-08-02T15:44:17.6495541+09:00","実行可能性・資金Gate分析者","日本語化時に再構成。公式証拠で再確認が必要"
"GTE-P06-20260802-0001","CAN-EXP-EQ-JP-NIKKEI225-NK225L-IBSJ","EXP-EQ-JP-NIKKEI225","CLU-EXP-EQ-JP-NIKKEI225","VEH-NK225L","NK225L","OSE","Interactive Brokers Securities Japan Inc.","株価指数","再構成リスク群","PG-株価指数","証拠不足","証拠不足","証拠不足","プラットフォーム確認済み・銘柄単位は未確認","証拠不足","証拠不足","証拠不足","証拠不足","証拠不足","証拠不足","証拠不足","証拠不足","証拠不足","証拠不足","","","","","N/ATR;現在価格;契約倍率;ティックサイズ;最小数量;当初証拠金;維持証拠金;手数料;スプレッド;データ費用;銘柄単位の日本居住者利用可否","EVD-P04-0001;EVD-P04-0002","不適格確定ではなく、重要数値と利用可否の証拠が不足しているため保留","P06-v0.1-日本語再構成","2026-08-02","2026-08-02T15:44:17.6495541+09:00","実行可能性・資金Gate分析者","日本語化時に再構成。公式証拠で再確認が必要"
"GTE-P06-20260802-0001","CAN-EXP-EQ-JP-NIKKEI225-NK225M-IBSJ","EXP-EQ-JP-NIKKEI225","CLU-EXP-EQ-JP-NIKKEI225","VEH-NK225M","NK225M","OSE","Interactive Brokers Securities Japan Inc.","株価指数","再構成リスク群","PG-株価指数","証拠不足","証拠不足","証拠不足","プラットフォーム確認済み・銘柄単位は未確認","証拠不足","証拠不足","証拠不足","証拠不足","証拠不足","証拠不足","証拠不足","証拠不足","証拠不足","証拠不足","","","","","N/ATR;現在価格;契約倍率;ティックサイズ;最小数量;当初証拠金;維持証拠金;手数料;スプレッド;データ費用;銘柄単位の日本居住者利用可否","EVD-P04-0001;EVD-P04-0002","不適格確定ではなく、重要数値と利用可否の証拠が不足しているため保留","P06-v0.1-日本語再構成","2026-08-02","2026-08-02T15:44:17.6495541+09:00","実行可能性・資金Gate分析者","日本語化時に再構成。公式証拠で再確認が必要"
