"exposure_cluster_id","canonical_exposure_id","original_exposure_id","candidate_id","vehicle_id","exposure_name_ja","exposure_name_en","asset_class","risk_cluster","proxy_group_id","direct_or_proxy","proxy_role","vehicle_type","symbol","exchange_or_venue","broker","broker_contract_id","hard_gate_status","evidence_confidence","evidence_ids","vehicle_difference_notes","p06_tracking_notes","created_at","updated_at"
"CLU-EXP-EQ-US-SP500","EXP-EQ-US-SP500","EXP-EQ-US-SP500","CAN-EXP-EQ-US-SP500-FUTURE-STANDARD-CME-ES-IBSJ","VEH-FUTURE-STANDARD-CME-ES","米国大型株指数","S&P 500 Index","equity_index","global_equity_us_large","PG-EQ-US","direct_listed_derivative","same_underlying_vehicle_variant","future_standard","ES","CME","Interactive Brokers Securities Japan Inc.","","pending_evidence","B","EVD-P04-0001;EVD-P04-0002;EVD-P04-0003;EVD-P04-0004;EVD-P04-0005;EVD-P04-0006;EVD-P04-0007;EVD-P04-0008;EVD-P04-0009;EVD-P04-0010;EVD-P04-0011;EVD-P04-0012;EVD-P04-0013","Standard futures contract; capital fit depends on multiplier and margin in P06. Delivery/settlement risk unknown. Contract multiplier pending. Initial margin pending. Realtime data availability pending.","Use candidate_id as immutable key. P06 must verify multiplier, tick, margin, minimum quantity, data, and symbol-level Japan eligibility before pass.","2026-08-02T15:14:39.3532820+09:00","2026-08-02T15:14:39.3532820+09:00"
"CLU-EXP-EQ-US-SP500","EXP-EQ-US-SP500","EXP-EQ-US-SP500","CAN-EXP-EQ-US-SP500-FUTURE-MICRO-CME-MES-IBSJ","VEH-FUTURE-MICRO-CME-MES","米国大型株指数","S&P 500 Index","equity_index","global_equity_us_large","PG-EQ-US","direct_listed_derivative","same_underlying_vehicle_variant","future_micro","MES","CME","Interactive Brokers Securities Japan Inc.","","pending_evidence","B","EVD-P04-0001;EVD-P04-0002;EVD-P04-0003;EVD-P04-0004;EVD-P04-0005;EVD-P04-0006;EVD-P04-0007;EVD-P04-0008;EVD-P04-0009;EVD-P04-0010;EVD-P04-0011;EVD-P04-0012;EVD-P04-0013","Micro contract; lower capital requirement expected; multiplier must be verified in P06. Delivery/settlement risk unknown. Contract multiplier pending. Initial margin pending. Realtime data availability pending.","Use candidate_id as immutable key. P06 must verify multiplier, tick, margin, minimum quantity, data, and symbol-level Japan eligibility before pass.","2026-08-02T15:14:39.3532820+09:00","2026-08-02T15:14:39.3532820+09:00"
"CLU-EXP-EQ-US-NASDAQ100","EXP-EQ-US-NASDAQ100","EXP-EQ-US-NASDAQ100","CAN-EXP-EQ-US-NASDAQ100-FUTURE-STANDARD-CME-NQ-IBSJ","VEH-FUTURE-STANDARD-CME-NQ","米国ナスダック100指数","Nasdaq 100 Index","equity_index","global_equity_us_growth","PG-EQ-US","direct_listed_derivative","same_underlying_vehicle_variant","future_standard","NQ","CME","Interactive Brokers Securities Japan Inc.","","pending_evidence","B","EVD-P04-0001;EVD-P04-0002;EVD-P04-0003;EVD-P04-0004;EVD-P04-0005;EVD-P04-0006;EVD-P04-0007;EVD-P04-0008;EVD-P04-0009;EVD-P04-0010;EVD-P04-0011;EVD-P04-0012;EVD-P04-0013","Standard futures contract; capital fit depends on multiplier and margin in P06. Delivery/settlement risk unknown. Contract multiplier pending. Initial margin pending. Realtime data availability pending.","Use candidate_id as immutable key. P06 must verify multiplier, tick, margin, minimum quantity, data, and symbol-level Japan eligibility before pass.","2026-08-02T15:14:39.3532820+09:00","2026-08-02T15:14:39.3532820+09:00"
"CLU-EXP-EQ-US-NASDAQ100","EXP-EQ-US-NASDAQ100","EXP-EQ-US-NASDAQ100","CAN-EXP-EQ-US-NASDAQ100-FUTURE-MICRO-CME-MNQ-IBSJ","VEH-FUTURE-MICRO-CME-MNQ","米国ナスダック100指数","Nasdaq 100 Index","equity_index","global_equity_us_growth","PG-EQ-US","direct_listed_derivative","same_underlying_vehicle_variant","future_micro","MNQ","CME","Interactive Brokers Securities Japan Inc.","","pending_evidence","B","EVD-P04-0001;EVD-P04-0002;EVD-P04-0003;EVD-P04-0004;EVD-P04-0005;EVD-P04-0006;EVD-P04-0007;EVD-P04-0008;EVD-P04-0009;EVD-P04-0010;EVD-P04-0011;EVD-P04-0012;EVD-P04-0013","Micro contract; lower capital requirement expected; multiplier must be verified in P06. Delivery/settlement risk unknown. Contract multiplier pending. Initial margin pending. Realtime data availability pending.","Use candidate_id as immutable key. P06 must verify multiplier, tick, margin, minimum quantity, data, and symbol-level Japan eligibility before pass.","2026-08-02T15:14:39.3532820+09:00","2026-08-02T15:14:39.3532820+09:00"
"CLU-EXP-EQ-US-RUSSELL2000","EXP-EQ-US-RUSSELL2000","EXP-EQ-US-RUSSELL2000","CAN-EXP-EQ-US-RUSSELL2000-FUTURE-STANDARD-CME-RTY-IBSJ","VEH-FUTURE-STANDARD-CME-RTY","米国小型株指数","Russell 2000 Index","equity_index","global_equity_us_small","PG-EQ-US","direct_listed_derivative","same_underlying_vehicle_variant","future_standard","RTY","CME","Interactive Brokers Securities Japan Inc.","","pending_evidence","B","EVD-P04-0001;EVD-P04-0002;EVD-P04-0003;EVD-P04-0004;EVD-P04-0005;EVD-P04-0006;EVD-P04-0007;EVD-P04-0008;EVD-P04-0009;EVD-P04-0010;EVD-P04-0011;EVD-P04-0012;EVD-P04-0013","Standard futures contract; capital fit depends on multiplier and margin in P06. Delivery/settlement risk unknown. Contract multiplier pending. Initial margin pending. Realtime data availability pending.","Use candidate_id as immutable key. P06 must verify multiplier, tick, margin, minimum quantity, data, and symbol-level Japan eligibility before pass.","2026-08-02T15:14:39.3532820+09:00","2026-08-02T15:14:39.3532820+09:00"
"CLU-EXP-EQ-US-RUSSELL2000","EXP-EQ-US-RUSSELL2000","EXP-EQ-US-RUSSELL2000","CAN-EXP-EQ-US-RUSSELL2000-FUTURE-MICRO-CME-M2K-IBSJ","VEH-FUTURE-MICRO-CME-M2K","米国小型株指数","Russell 2000 Index","equity_index","global_equity_us_small","PG-EQ-US","direct_listed_derivative","same_underlying_vehicle_variant","future_micro","M2K","CME","Interactive Brokers Securities Japan Inc.","","pending_evidence","B","EVD-P04-0001;EVD-P04-0002;EVD-P04-0003;EVD-P04-0004;EVD-P04-0005;EVD-P04-0006;EVD-P04-0007;EVD-P04-0008;EVD-P04-0009;EVD-P04-0010;EVD-P04-0011;EVD-P04-0012;EVD-P04-0013","Micro contract; lower capital requirement expected; multiplier must be verified in P06. Delivery/settlement risk unknown. Contract multiplier pending. Initial margin pending. Realtime data availability pending.","Use candidate_id as immutable key. P06 must verify multiplier, tick, margin, minimum quantity, data, and symbol-level Japan eligibility before pass.","2026-08-02T15:14:39.3532820+09:00","2026-08-02T15:14:39.3532820+09:00"
"CLU-EXP-EQ-US-DOW","EXP-EQ-US-DOW","EXP-EQ-US-DOW","CAN-EXP-EQ-US-DOW-FUTURE-STANDARD-CME-YM-IBSJ","VEH-FUTURE-STANDARD-CME-YM","米国ダウ工業株指数","Dow Jones Industrial Average","equity_index","global_equity_us_large","PG-EQ-US","direct_listed_derivative","same_underlying_vehicle_variant","future_standard","YM","CME","Interactive Brokers Securities Japan Inc.","","pending_evidence","B","EVD-P04-0001;EVD-P04-0002;EVD-P04-0003;EVD-P04-0004;EVD-P04-0005;EVD-P04-0006;EVD-P04-0007;EVD-P04-0008;EVD-P04-0009;EVD-P04-0010;EVD-P04-0011;EVD-P04-0012;EVD-P04-0013","Standard futures contract; capital fit depends on multiplier and margin in P06. Delivery/settlement risk unknown. Contract multiplier pending. Initial margin pending. Realtime data availability pending.","Use candidate_id as immutable key. P06 must verify multiplier, tick, margin, minimum quantity, data, and symbol-level Japan eligibility before pass.","2026-08-02T15:14:39.3532820+09:00","2026-08-02T15:14:39.3532820+09:00"
"CLU-EXP-EQ-US-DOW","EXP-EQ-US-DOW","EXP-EQ-US-DOW","CAN-EXP-EQ-US-DOW-FUTURE-MICRO-CME-MYM-IBSJ","VEH-FUTURE-MICRO-CME-MYM","米国ダウ工業株指数","Dow Jones Industrial Average","equity_index","global_equity_us_large","PG-EQ-US","direct_listed_derivative","same_underlying_vehicle_variant","future_micro","MYM","CME","Interactive Brokers Securities Japan Inc.","","pending_evidence","B","EVD-P04-0001;EVD-P04-0002;EVD-P04-0003;EVD-P04-0004;EVD-P04-0005;EVD-P04-0006;EVD-P04-0007;EVD-P04-0008;EVD-P04-0009;EVD-P04-0010;EVD-P04-0011;EVD-P04-0012;EVD-P04-0013","Micro contract; lower capital requirement expected; multiplier must be verified in P06. Delivery/settlement risk unknown. Contract multiplier pending. Initial margin pending. Realtime data availability pending.","Use candidate_id as immutable key. P06 must verify multiplier, tick, margin, minimum quantity, data, and symbol-level Japan eligibility before pass.","2026-08-02T15:14:39.3532820+09:00","2026-08-02T15:14:39.3532820+09:00"
"CLU-EXP-EQ-US-MIDCAP400","EXP-EQ-US-MIDCAP400","EXP-EQ-US-MIDCAP400","CAN-EXP-EQ-US-MIDCAP400-FUTURE-STANDARD-CME-EMD-IBSJ","VEH-FUTURE-STANDARD-CME-EMD","米国中型株指数","S&P MidCap 400 Index","equity_index","global_equity_us_mid","PG-EQ-US","direct_listed_derivative","same_risk_cluster_distinct_underlying","future_standard","EMD","CME","Interactive Brokers Securities Japan Inc.","","pending_evidence","B","EVD-P04-0001;EVD-P04-0002;EVD-P04-0003;EVD-P04-0004;EVD-P04-0005;EVD-P04-0006;EVD-P04-0007;EVD-P04-0008;EVD-P04-0009;EVD-P04-0010;EVD-P04-0011;EVD-P04-0012;EVD-P04-0013","Standard futures contract; capital fit depends on multiplier and margin in P06. Delivery/settlement risk unknown. Contract multiplier pending. Initial margin pending. Realtime data availability pending.","Use candidate_id as immutable key. P06 must verify multiplier, tick, margin, minimum quantity, data, and symbol-level Japan eligibility before pass.","2026-08-02T15:14:39.3532820+09:00","2026-08-02T15:14:39.3532820+09:00"
"CLU-EXP-EQ-JP-NIKKEI225-USD","EXP-EQ-JP-NIKKEI225-USD","EXP-EQ-JP-NIKKEI225-USD","CAN-EXP-EQ-JP-NIKKEI225-USD-FUTURE-STANDARD-CME-NIY-IBSJ","VEH-FUTURE-STANDARD-CME-NIY","日経225米ドル建て","Nikkei 225 Dollar Index","equity_index","global_equity_japan","PG-EQ-JAPAN","direct_listed_derivative","same_risk_cluster_distinct_underlying","future_standard","NIY","CME","Interactive Brokers Securities Japan Inc.","","pending_evidence","B","EVD-P04-0001;EVD-P04-0002;EVD-P04-0003;EVD-P04-0004;EVD-P04-0005;EVD-P04-0006;EVD-P04-0007;EVD-P04-0008;EVD-P04-0009;EVD-P04-0010;EVD-P04-0011;EVD-P04-0012;EVD-P04-0013","Standard futures contract; capital fit depends on multiplier and margin in P06. Delivery/settlement risk unknown. Contract multiplier pending. Initial margin pending. Realtime data availability pending.","Use candidate_id as immutable key. P06 must verify multiplier, tick, margin, minimum quantity, data, and symbol-level Japan eligibility before pass.","2026-08-02T15:14:39.3532820+09:00","2026-08-02T15:14:39.3532820+09:00"
