"evidence_id","source_id","candidate_id","exposure_id","vehicle_id","fact_type","fact_claim_ja","source_url","source_title","publisher","source_type","primary_or_secondary","accessed_at","published_date","effective_date","expiry_date","quoted_or_summarized_point_ja","confidence","conflict_status","conflict_with_evidence_ids","verified_by_role","verification_notes"
"EVD-P04-0001","SRC-IBSJ-0001","","","","broker_product_availability","IBSJは世界の先物取引を提供し、30超のマーケットセンターで先物を扱う。","https://www.interactivebrokers.co.jp/en/trading/products-futures.php","Futures Trading – Resources & Products from IBKR","Interactive Brokers Securities Japan Inc.","broker","primary","2026-08-02T13:53:07.1831656+09:00","","","2026-09-01","IBSJ公式の先物商品ページに、世界の先物と30超のマーケットセンターへのアクセスがある。","B","none","","P04 Evidence Verifier","Generic broker-level evidence, not symbol-level confirmation."
"EVD-P04-0002","SRC-IBSJ-0002","","","","api_order_capability","IBSJ/IBKRはREST/Python/Java/C++ APIを提供する。","https://www.interactivebrokers.co.jp/en/trading/products-futures.php","Futures Trading – Resources & Products from IBKR","Interactive Brokers Securities Japan Inc.","broker","primary","2026-08-02T13:53:07.1831656+09:00","","","2026-09-01","IBSJ公式商品ページにREST、Python、Java、C++ APIで独自システムを構築できるとある。","A","none","","P04 Evidence Verifier","Broker/platform-level API evidence."
"EVD-P04-0003","SRC-IBSJ-0003","","","","other_note","IBKR Paper Tradingは模擬環境で新戦略とIB APIを試験できる。","https://www.interactivebrokers.co.jp/en/trading/tws.php","Global Trading Platform - IB Trader Workstation","Interactive Brokers Securities Japan Inc.","broker","primary","2026-08-02T13:53:07.1831656+09:00","","","2026-09-01","Paper Tradingで新戦略、商品、注文タイプを試し、IB APIソリューションも試験できる。","A","none","","P04 Evidence Verifier","Paper-trading support evidence."
"EVD-P04-0004","SRC-IBSJ-0004","","","","other_note","IBSJ口座ごとにPaper Trading口座が1つ付与される。","https://www.interactivebrokers.co.jp/en/support/customer-service.php?p=contact","Customer Service","Interactive Brokers Securities Japan Inc.","broker","primary","2026-08-02T13:53:07.1831656+09:00","","","2026-09-01","IBSJ FAQで口座ごとに1つのpaper trading accountが付与されると案内。","A","none","","P04 Evidence Verifier","Demo/paper availability evidence."
"EVD-P04-0005","SRC-IBSJ-0005","","","","japan_resident_eligibility","IBSJで取引開始には入金とTrading Permissionsが必要。","https://www.interactivebrokers.co.jp/en/support/customer-service.php?p=contact","Customer Service","Interactive Brokers Securities Japan Inc.","broker","primary","2026-08-02T13:53:07.1831656+09:00","","","2026-09-01","IBSJ FAQで、入金後にClient PortalでTrading Permissionsを申請して取引開始とある。","A","none","","P04 Evidence Verifier","Shows permissions are product/country-scoped."
"EVD-P04-0006","SRC-IBSJ-0006","","","","broker_product_availability","IBSJではTrading Permissionsページから国別・商品別の取引権限を追加できる。","https://www.interactivebrokers.co.jp/en/general/education/hdi_Add_Products_Market_Data.php","How Do I Add Products and Market Data?","Interactive Brokers Securities Japan Inc.","broker","primary","2026-08-02T13:53:07.1831656+09:00","","","2026-09-01","Trading Permissionsページで国別・商品別に取引権限を追加できる。","A","none","","P04 Evidence Verifier","Used to justify permission-gated availability."
"EVD-P04-0007","SRC-IBKRAPI-0001","","","","api_order_capability","IBKR Web APIは注文送信をサポートする。","https://ibkrcampus.com/campus/ibkr-api-page/web-api-trading/","Trading Web API","IBKR Campus","documentation","primary","2026-08-02T13:53:07.1831656+09:00","","","2026-09-01","Web APIで /iserver/account/{accountId}/orders により新規注文を送信できる。","A","none","","P04 Evidence Verifier","Order API evidence."
"EVD-P04-0008","SRC-IBKRAPI-0002","","","","api_account_position_capability","IBKR Web APIは口座残高・証拠金サマリーを取得できる。","https://ibkrcampus.com/campus/ibkr-api-page/web-api-trading/","Trading Web API","IBKR Campus","documentation","primary","2026-08-02T13:53:07.1831656+09:00","","","2026-09-01","Web APIの /portfolio/{accountId}/summary と /ledger が口座資産、証拠金、現金残高を返す。","A","none","","P04 Evidence Verifier","Account/ledger API evidence."
"EVD-P04-0009","SRC-IBKRAPI-0003","","","","api_account_position_capability","IBKR TWS APIはポジション更新を購読できる。","https://interactivebrokers.github.io/tws-api/positions.html","TWS API v9.72+: Positions","Interactive Brokers","documentation","primary","2026-08-02T13:53:07.1831656+09:00","","","2026-09-01","reqPositionsで全口座ポジションを取得し、変更時の更新も受け取れる。","A","none","","P04 Evidence Verifier","Position API evidence."
"EVD-P04-0010","SRC-IBKRAPI-0004","","","","realtime_data_availability","IBKR Web APIのリアルタイム/履歴Market Dataには市場データ購読と取引権限が必要。","https://ibkrcampus.com/campus/ibkr-api-page/web-api-trading/","Trading Web API","IBKR Campus","documentation","primary","2026-08-02T13:53:07.1831656+09:00","","","2026-09-01","Top-of-book、depth、historical data取得にはlive market data subscriptionと取引権限が必要。","A","none","","P04 Evidence Verifier","Data entitlement evidence."
"EVD-P04-0011","SRC-IBKRAPI-0005","","","","data_license_cost","API market dataは大半の証券でLevel 1購読が必要だが、ForexとCryptocurrenciesは追加購読不要。","https://ibkrcampus.com/campus/ibkr-api-page/market-data-subscriptions/","Introduction | Market Data Subscriptions","Interactive Brokers","documentation","primary","2026-08-02T13:53:07.1831656+09:00","","","2026-09-01","API market dataは大半でLevel 1購読が必要。ForexとCryptocurrenciesは追加購読不要。","A","none","","P04 Evidence Verifier","Subscription requirement evidence."
"EVD-P04-0012","SRC-IBKRAPI-0006","","","","other_note","個人向けWeb API利用は、live accountがfully open and fundedで、IBKR Pro typeであることを前提とする。","https://ibkrcampus.com/campus/ibkr-api-page/webapi-doc/","Web API Documentation","IBKR Campus","documentation","primary","2026-08-02T13:53:07.1831656+09:00","","","2026-09-01","個人はlive accountがfully open and fundedで、そのsimulated paper accountも含めIBKR Proが前提。","A","none","","P04 Evidence Verifier","Important constraint for paper/API usage."
"EVD-P04-0013","SRC-IBSJ-0007","","","","broker_product_availability","IBSJのIOC対応取引所一覧にCFE、ICEUS、ICEEU、SGX、OSEが含まれる。","https://www.interactivebrokers.co.jp/en/trading/order-type-exchanges.php?ot=ioc","Exchanges For Order Type","Interactive Brokers Securities Japan Inc.","broker","primary","2026-08-02T13:53:07.1831656+09:00","","","2026-09-01","IBSJのorder type exchange一覧にCFE、ICEUS、ICEEU、SGX、OSEが掲載されている。","B","none","","P04 Evidence Verifier","Venue presence evidence, not exhaustive symbol coverage."
"EVD-P04-0014","SRC-IBSJ-0008","","","","broker_product_availability","IBSJはOSE/TOCOM商品を国内口座で取り扱う前提の取引ルールを公開している。","https://www.interactivebrokers.co.jp/en/trading/trading-rules.php","Trading Rules for IBSJ Products","Interactive Brokers Securities Japan Inc.","broker","primary","2026-08-02T13:53:07.1831656+09:00","","","2026-09-01","IBSJ trading rulesにOSE系先物・JGB先物の注文・セッション説明がある。","A","none","","P04 Evidence Verifier","Domestic derivatives support evidence."
"EVD-P04-0015","SRC-IBSJ-0009","","","","broker_product_availability","IBSJはJPY建てSGX/GLOBEX先物を同一IBSJ口座で扱う。","https://www.interactivebrokers.co.jp/en/trading/trading-rules.php","Trading Rules for IBSJ Products","Interactive Brokers Securities Japan Inc.","broker","primary","2026-08-02T13:53:07.1831656+09:00","","","2026-09-01","JPY建てのSGX/GLOBEX先物・先物オプションはIBSJ accountで取引でき、trade permissionが必要と案内。","A","none","","P04 Evidence Verifier","Specific SGX/GLOBEX evidence for JPY-denominated contracts."
"EVD-P04-0016","SRC-CME-0003","","","","trading_hours_calendar","CMEの暗号資産先物・オプションは24/7で、土曜メンテ時間がある。","https://www.cmegroup.com/trading-hours.html","CME Group Holiday and Trading Hours","CME Group","exchange","primary","2026-08-02T13:53:07.1831656+09:00","","","2026-09-01","CME trading hoursページに暗号資産先物は日曜から土曜まで24時間連続、土曜に保守時間ありとある。","A","none","","P04 Evidence Verifier","Applies to CME crypto futures only."
"EVD-P04-0017","SRC-JPX-0003","","","","trading_hours_calendar","JPX/OSE/TOCOMはholiday tradingを提供し、祝日取引時のGTC/GTD失効ルールがある。","https://www.jpx.co.jp/english/derivatives/rules/holidaytrading/index.html","Holiday Trading","Japan Exchange Group","exchange","primary","2026-08-02T13:53:07.1831656+09:00","","","2026-09-01","JPX holiday tradingページに祝日取引とGTC/GTD失効の例外ルールがある。","A","none","","P04 Evidence Verifier","JPX-specific operational note."
"EVD-P04-0018","SRC-IBSJ-0010","","","","commission_fee","IBSJのSGX feeページにXINA50やN225UなどのSGX先物銘柄コードが掲載されている。","https://www.interactivebrokers.co.jp/en/accounts/fees/SGX.php","SGX Exchange and Regulatory Fees","Interactive Brokers Securities Japan Inc.","broker","primary","2026-08-02T13:53:07.1831656+09:00","","","2026-09-01","SGX fee表にXINA50、N225U、SGXNK等の銘柄コードがある。","B","none","","P04 Evidence Verifier","Used as symbol-level support for selected SGX contracts."
"EVD-P04-0019","SRC-IBSJ-0011","","","","commission_fee","IBSJのIPE feeページにCOIL、WTI、HOIL、RBOB等のICE系先物が掲載されている。","https://www.interactivebrokers.co.jp/en/accounts/fees/IPE.php","Intercontinental Exchange (IPE) Exchange and Regulatory Fees","Interactive Brokers Securities Japan Inc.","broker","primary","2026-08-02T13:53:07.1831656+09:00","","","2026-09-01","IPE fee表にCOIL、WTI、HOIL、RBOB、NGF、Coal Futuresがある。","B","none","","P04 Evidence Verifier","Used as symbol-level support for selected ICE products."
"EVD-P04-0020","SRC-IBSJ-0012","","","","commission_fee","IBSJのEurex feeページにESTX50、Mini DAX、Micro ESTX50等が掲載されている。","https://www.interactivebrokers.co.jp/en/index.php?f=57402","Eurex Exchange and Regulatory Fee","Interactive Brokers Securities Japan Inc.","broker","primary","2026-08-02T13:53:07.1831656+09:00","","","2026-09-01","Eurex fee表にESTX50、Mini DAX、Micro DAXなどがある。","B","none","","P04 Evidence Verifier","Used as symbol-level support for selected Eurex products."
