"指摘ID","対象","重大度","分類","指摘内容","根拠または観察","推奨対応","P13影響"
"RED-P12-20260802-0001","BTC, MBT","高","日本居住者・Broker制約","IBKR公式情報に日本居住者アカウントはBitcoin tradingにeligibleでない旨がある。","IBKR公式ページのNews記載。CME商品として存在しても、Broker/居住地Gateで止まる可能性が高い。","P13ではBTC/MBTを原則除外、または別Broker調査トラックへ分離する。","最終30件から外す可能性が高い"
"RED-P12-20260802-0002","ETH, MET","高","日本居住者・Broker制約","Ether系も暗号資産先物としてIBKR/IBSJ取扱制限の影響を受ける可能性がある。","Bitcoin制限は直接ETH/METを名指ししていないが、暗号資産取引権限全般の制約が疑われる。","IBKR/IBSJでETH/METの銘柄検索・取引権限を実画面または公式サポートで確認する。","保留または別Broker調査"
"RED-P12-20260802-0003","MZC, MZS, MZW","高","データ履歴不足","P10で取得できた履歴が2025-02-24以降で短い。","P10 Protocol完了レポートとcontinuous_build_report。","Databento以外の補完ソース、標準先物ZC/ZS/ZWでの長期Proxy検証、またはMicro運用開始時期を限定する。","初期候補維持は条件付き"
"RED-P12-20260802-0004","MZC, MZS, MZW","中","シンボル補正","P08のXC/XK/XWをP11でMZC/MZS/MZWへ補正している。","P10の実取得でMZC/MZS/MZWを使用。","P13前にCME公式仕様とDatabento/IBKRシンボル対応を再確認する。","追跡列を維持すれば継続可"
"RED-P12-20260802-0005","全30件","高","IBKR/IBSJ銘柄単位取扱未確定","IBKRの一般的なCME futures取扱とAPI対応は確認できるが、各銘柄を日本居住者口座で発注できるかは未確定。","IBKR公式は取引権限が商品・国・プロフィールに依存すると説明している。","Client PortalまたはPaper口座で銘柄単位検索、Contract ID、発注可否、権限エラーを確認する。","H4で未確定を承認するか判断が必要"
"RED-P12-20260802-0006","全30件","高","証拠金未確定","先物証拠金は変動し、商品ごとに確認が必要。小口資金適合性の確定に不可欠。","IBKR公式は先物証拠金がリスクベースで変動すると説明している。","IBKR Margin RequirementsまたはClient Portalで現行証拠金を取得し、50万/75万/100万円シナリオへ再反映する。","P13では資金適合性を条件付きにする"
"RED-P12-20260802-0007","MYM, MNQ, M2K, MES","中","相関集中","米国株指数4件は同一資産クラス内で高相関になりやすい。","P11候補構成上、米国株指数が4件入っている。","P13では初期候補に多くても1件程度、最終候補では相関グループとしてリスク上限を設ける。","採用数・重み制限が必要"
"RED-P12-20260802-0008","マイクロ候補と標準候補の重複","中","Exposure重複","MCL/CL、MZC/ZC、MZS/ZS、MZW/ZW、M6A/6Aなど同一ExposureのVehicle重複がある。","P11はExposure×Vehicle単位で30件を保持している。","P13ではPrimary/Fallback関係を明示し、同時採用や二重リスク計上を避ける。","ポートフォリオ構築ルールに影響"
"RED-P12-20260802-0009","FX先物","中","満期・決済運用","Micro FXの一部はPhysical settlement。自動売買では満期前ロールと受渡回避が必須。","CME公式Micro FX仕様。","満期接近時の新規停止、強制ロール、最終取引日前クローズルールを設計する。","運用設計に必須"
"RED-P12-20260802-0010","全先物候補","中","ロール損益未反映","P10研究用ハーネスはロール損益、手数料、スリッページ、証拠金不足日を未反映。","P10 Protocol完了レポート。","P13ではP10損益を採用根拠にせず、詳細設計後に本番仕様バックテストを再実施する。","P10結果の解釈制限"

