"gate_run_id","candidate_id","canonical_exposure_id","exposure_cluster_id","vehicle_id","symbol","exchange_or_venue","broker","asset_class","risk_cluster","proxy_group_id","final_gate_classification","hard_gate_status","g1_japan_broker_access","g2_api_order_account","g3_long_short","g4_contract_spec","g5_capital_fit_500k","g5_capital_fit_750k","g5_capital_fit_1000k","g6_liquidity_spread","g7_data_availability_cost","g8_operational_risk","g9_regulatory_tax_note","g10_bias_data_integrity","min_quantity_1n_jpy_risk","two_n_stop_loss_jpy","gap_stress_loss_jpy","four_unit_theoretical_stop_loss_jpy","initial_margin_ratio_500k","maintenance_margin_ratio_500k","initial_margin_ratio_750k","maintenance_margin_ratio_750k","initial_margin_ratio_1000k","maintenance_margin_ratio_1000k","three_market_concurrent_margin_jpy","five_market_concurrent_margin_jpy","estimated_cost_ratio_to_n","fx_conversion_sensitivity_10pct_jpy","blocking_unknowns","required_evidence_ids","gate_reason","calculation_version","as_of_date","checked_at","checked_by_role","review_notes"
"GTE-P06-20260802-0001","CAN-EXP-EQ-US-SP500-FUTURE-STANDARD-CME-ES-IBSJ","EXP-EQ-US-SP500","CLU-EXP-EQ-US-SP500","VEH-FUTURE-STANDARD-CME-ES","ES","CME","Interactive Brokers Securities Japan Inc.","equity_index","global_equity_us_large","PG-EQ-US","Pending-evidence","pending_evidence","pending_evidence","conditional_platform_verified_symbol_pending","pending_evidence","pending_evidence","pending_evidence","pending_evidence","pending_evidence","pending_evidence","pending_evidence","pending_evidence","pending_evidence","pending_evidence","","","","","","","","","","","","","","","N/ATR_20_JPY_or_native;current_price_as_of_date;contract_multiplier;tick_size;minimum_quantity;initial_margin_jpy;maintenance_margin_jpy;commission_roundtrip_jpy;spread_estimate;historical_data_availability;realtime_data_entitlement_cost;symbol_level_japan_resident_eligibility","EVD-P04-0001;EVD-P04-0002;EVD-P04-0003;EVD-P04-0004;EVD-P04-0005;EVD-P04-0006;EVD-P04-0007;EVD-P04-0008;EVD-P04-0009;EVD-P04-0010;EVD-P04-0011;EVD-P04-0012;EVD-P04-0013","Required margin, N/ATR, multiplier, minimum quantity, and symbol-level eligibility are unknown; rules prohibit pass.","P06-v0.1-no-price-no-margin-strict","2026-08-02","2026-08-02T15:17:35.0009807+09:00","Feasibility and Capital Gate Analyst","No current-price-dependent numeric result was computed because critical inputs are missing. This is intentional to avoid false pass."
"GTE-P06-20260802-0001","CAN-EXP-EQ-US-SP500-FUTURE-MICRO-CME-MES-IBSJ","EXP-EQ-US-SP500","CLU-EXP-EQ-US-SP500","VEH-FUTURE-MICRO-CME-MES","MES","CME","Interactive Brokers Securities Japan Inc.","equity_index","global_equity_us_large","PG-EQ-US","Pending-evidence","pending_evidence","pending_evidence","conditional_platform_verified_symbol_pending","pending_evidence","pending_evidence","pending_evidence","pending_evidence","pending_evidence","pending_evidence","pending_evidence","pending_evidence","pending_evidence","pending_evidence","","","","","","","","","","","","","","","N/ATR_20_JPY_or_native;current_price_as_of_date;contract_multiplier;tick_size;minimum_quantity;initial_margin_jpy;maintenance_margin_jpy;commission_roundtrip_jpy;spread_estimate;historical_data_availability;realtime_data_entitlement_cost;symbol_level_japan_resident_eligibility","EVD-P04-0001;EVD-P04-0002;EVD-P04-0003;EVD-P04-0004;EVD-P04-0005;EVD-P04-0006;EVD-P04-0007;EVD-P04-0008;EVD-P04-0009;EVD-P04-0010;EVD-P04-0011;EVD-P04-0012;EVD-P04-0013","Required margin, N/ATR, multiplier, minimum quantity, and symbol-level eligibility are unknown; rules prohibit pass.","P06-v0.1-no-price-no-margin-strict","2026-08-02","2026-08-02T15:17:35.0009807+09:00","Feasibility and Capital Gate Analyst","No current-price-dependent numeric result was computed because critical inputs are missing. This is intentional to avoid false pass."
"GTE-P06-20260802-0001","CAN-EXP-EQ-US-NASDAQ100-FUTURE-STANDARD-CME-NQ-IBSJ","EXP-EQ-US-NASDAQ100","CLU-EXP-EQ-US-NASDAQ100","VEH-FUTURE-STANDARD-CME-NQ","NQ","CME","Interactive Brokers Securities Japan Inc.","equity_index","global_equity_us_growth","PG-EQ-US","Pending-evidence","pending_evidence","pending_evidence","conditional_platform_verified_symbol_pending","pending_evidence","pending_evidence","pending_evidence","pending_evidence","pending_evidence","pending_evidence","pending_evidence","pending_evidence","pending_evidence","pending_evidence","","","","","","","","","","","","","","","N/ATR_20_JPY_or_native;current_price_as_of_date;contract_multiplier;tick_size;minimum_quantity;initial_margin_jpy;maintenance_margin_jpy;commission_roundtrip_jpy;spread_estimate;historical_data_availability;realtime_data_entitlement_cost;symbol_level_japan_resident_eligibility","EVD-P04-0001;EVD-P04-0002;EVD-P04-0003;EVD-P04-0004;EVD-P04-0005;EVD-P04-0006;EVD-P04-0007;EVD-P04-0008;EVD-P04-0009;EVD-P04-0010;EVD-P04-0011;EVD-P04-0012;EVD-P04-0013","Required margin, N/ATR, multiplier, minimum quantity, and symbol-level eligibility are unknown; rules prohibit pass.","P06-v0.1-no-price-no-margin-strict","2026-08-02","2026-08-02T15:17:35.0009807+09:00","Feasibility and Capital Gate Analyst","No current-price-dependent numeric result was computed because critical inputs are missing. This is intentional to avoid false pass."
"GTE-P06-20260802-0001","CAN-EXP-EQ-US-NASDAQ100-FUTURE-MICRO-CME-MNQ-IBSJ","EXP-EQ-US-NASDAQ100","CLU-EXP-EQ-US-NASDAQ100","VEH-FUTURE-MICRO-CME-MNQ","MNQ","CME","Interactive Brokers Securities Japan Inc.","equity_index","global_equity_us_growth","PG-EQ-US","Pending-evidence","pending_evidence","pending_evidence","conditional_platform_verified_symbol_pending","pending_evidence","pending_evidence","pending_evidence","pending_evidence","pending_evidence","pending_evidence","pending_evidence","pending_evidence","pending_evidence","pending_evidence","","","","","","","","","","","","","","","N/ATR_20_JPY_or_native;current_price_as_of_date;contract_multiplier;tick_size;minimum_quantity;initial_margin_jpy;maintenance_margin_jpy;commission_roundtrip_jpy;spread_estimate;historical_data_availability;realtime_data_entitlement_cost;symbol_level_japan_resident_eligibility","EVD-P04-0001;EVD-P04-0002;EVD-P04-0003;EVD-P04-0004;EVD-P04-0005;EVD-P04-0006;EVD-P04-0007;EVD-P04-0008;EVD-P04-0009;EVD-P04-0010;EVD-P04-0011;EVD-P04-0012;EVD-P04-0013","Required margin, N/ATR, multiplier, minimum quantity, and symbol-level eligibility are unknown; rules prohibit pass.","P06-v0.1-no-price-no-margin-strict","2026-08-02","2026-08-02T15:17:35.0009807+09:00","Feasibility and Capital Gate Analyst","No current-price-dependent numeric result was computed because critical inputs are missing. This is intentional to avoid false pass."
"GTE-P06-20260802-0001","CAN-EXP-EQ-US-RUSSELL2000-FUTURE-STANDARD-CME-RTY-IBSJ","EXP-EQ-US-RUSSELL2000","CLU-EXP-EQ-US-RUSSELL2000","VEH-FUTURE-STANDARD-CME-RTY","RTY","CME","Interactive Brokers Securities Japan Inc.","equity_index","global_equity_us_small","PG-EQ-US","Pending-evidence","pending_evidence","pending_evidence","conditional_platform_verified_symbol_pending","pending_evidence","pending_evidence","pending_evidence","pending_evidence","pending_evidence","pending_evidence","pending_evidence","pending_evidence","pending_evidence","pending_evidence","","","","","","","","","","","","","","","N/ATR_20_JPY_or_native;current_price_as_of_date;contract_multiplier;tick_size;minimum_quantity;initial_margin_jpy;maintenance_margin_jpy;commission_roundtrip_jpy;spread_estimate;historical_data_availability;realtime_data_entitlement_cost;symbol_level_japan_resident_eligibility","EVD-P04-0001;EVD-P04-0002;EVD-P04-0003;EVD-P04-0004;EVD-P04-0005;EVD-P04-0006;EVD-P04-0007;EVD-P04-0008;EVD-P04-0009;EVD-P04-0010;EVD-P04-0011;EVD-P04-0012;EVD-P04-0013","Required margin, N/ATR, multiplier, minimum quantity, and symbol-level eligibility are unknown; rules prohibit pass.","P06-v0.1-no-price-no-margin-strict","2026-08-02","2026-08-02T15:17:35.0009807+09:00","Feasibility and Capital Gate Analyst","No current-price-dependent numeric result was computed because critical inputs are missing. This is intentional to avoid false pass."
"GTE-P06-20260802-0001","CAN-EXP-EQ-US-RUSSELL2000-FUTURE-MICRO-CME-M2K-IBSJ","EXP-EQ-US-RUSSELL2000","CLU-EXP-EQ-US-RUSSELL2000","VEH-FUTURE-MICRO-CME-M2K","M2K","CME","Interactive Brokers Securities Japan Inc.","equity_index","global_equity_us_small","PG-EQ-US","Pending-evidence","pending_evidence","pending_evidence","conditional_platform_verified_symbol_pending","pending_evidence","pending_evidence","pending_evidence","pending_evidence","pending_evidence","pending_evidence","pending_evidence","pending_evidence","pending_evidence","pending_evidence","","","","","","","","","","","","","","","N/ATR_20_JPY_or_native;current_price_as_of_date;contract_multiplier;tick_size;minimum_quantity;initial_margin_jpy;maintenance_margin_jpy;commission_roundtrip_jpy;spread_estimate;historical_data_availability;realtime_data_entitlement_cost;symbol_level_japan_resident_eligibility","EVD-P04-0001;EVD-P04-0002;EVD-P04-0003;EVD-P04-0004;EVD-P04-0005;EVD-P04-0006;EVD-P04-0007;EVD-P04-0008;EVD-P04-0009;EVD-P04-0010;EVD-P04-0011;EVD-P04-0012;EVD-P04-0013","Required margin, N/ATR, multiplier, minimum quantity, and symbol-level eligibility are unknown; rules prohibit pass.","P06-v0.1-no-price-no-margin-strict","2026-08-02","2026-08-02T15:17:35.0009807+09:00","Feasibility and Capital Gate Analyst","No current-price-dependent numeric result was computed because critical inputs are missing. This is intentional to avoid false pass."
"GTE-P06-20260802-0001","CAN-EXP-EQ-US-DOW-FUTURE-STANDARD-CME-YM-IBSJ","EXP-EQ-US-DOW","CLU-EXP-EQ-US-DOW","VEH-FUTURE-STANDARD-CME-YM","YM","CME","Interactive Brokers Securities Japan Inc.","equity_index","global_equity_us_large","PG-EQ-US","Pending-evidence","pending_evidence","pending_evidence","conditional_platform_verified_symbol_pending","pending_evidence","pending_evidence","pending_evidence","pending_evidence","pending_evidence","pending_evidence","pending_evidence","pending_evidence","pending_evidence","pending_evidence","","","","","","","","","","","","","","","N/ATR_20_JPY_or_native;current_price_as_of_date;contract_multiplier;tick_size;minimum_quantity;initial_margin_jpy;maintenance_margin_jpy;commission_roundtrip_jpy;spread_estimate;historical_data_availability;realtime_data_entitlement_cost;symbol_level_japan_resident_eligibility","EVD-P04-0001;EVD-P04-0002;EVD-P04-0003;EVD-P04-0004;EVD-P04-0005;EVD-P04-0006;EVD-P04-0007;EVD-P04-0008;EVD-P04-0009;EVD-P04-0010;EVD-P04-0011;EVD-P04-0012;EVD-P04-0013","Required margin, N/ATR, multiplier, minimum quantity, and symbol-level eligibility are unknown; rules prohibit pass.","P06-v0.1-no-price-no-margin-strict","2026-08-02","2026-08-02T15:17:35.0009807+09:00","Feasibility and Capital Gate Analyst","No current-price-dependent numeric result was computed because critical inputs are missing. This is intentional to avoid false pass."
"GTE-P06-20260802-0001","CAN-EXP-EQ-US-DOW-FUTURE-MICRO-CME-MYM-IBSJ","EXP-EQ-US-DOW","CLU-EXP-EQ-US-DOW","VEH-FUTURE-MICRO-CME-MYM","MYM","CME","Interactive Brokers Securities Japan Inc.","equity_index","global_equity_us_large","PG-EQ-US","Pending-evidence","pending_evidence","pending_evidence","conditional_platform_verified_symbol_pending","pending_evidence","pending_evidence","pending_evidence","pending_evidence","pending_evidence","pending_evidence","pending_evidence","pending_evidence","pending_evidence","pending_evidence","","","","","","","","","","","","","","","N/ATR_20_JPY_or_native;current_price_as_of_date;contract_multiplier;tick_size;minimum_quantity;initial_margin_jpy;maintenance_margin_jpy;commission_roundtrip_jpy;spread_estimate;historical_data_availability;realtime_data_entitlement_cost;symbol_level_japan_resident_eligibility","EVD-P04-0001;EVD-P04-0002;EVD-P04-0003;EVD-P04-0004;EVD-P04-0005;EVD-P04-0006;EVD-P04-0007;EVD-P04-0008;EVD-P04-0009;EVD-P04-0010;EVD-P04-0011;EVD-P04-0012;EVD-P04-0013","Required margin, N/ATR, multiplier, minimum quantity, and symbol-level eligibility are unknown; rules prohibit pass.","P06-v0.1-no-price-no-margin-strict","2026-08-02","2026-08-02T15:17:35.0009807+09:00","Feasibility and Capital Gate Analyst","No current-price-dependent numeric result was computed because critical inputs are missing. This is intentional to avoid false pass."
"GTE-P06-20260802-0001","CAN-EXP-EQ-US-MIDCAP400-FUTURE-STANDARD-CME-EMD-IBSJ","EXP-EQ-US-MIDCAP400","CLU-EXP-EQ-US-MIDCAP400","VEH-FUTURE-STANDARD-CME-EMD","EMD","CME","Interactive Brokers Securities Japan Inc.","equity_index","global_equity_us_mid","PG-EQ-US","Pending-evidence","pending_evidence","pending_evidence","conditional_platform_verified_symbol_pending","pending_evidence","pending_evidence","pending_evidence","pending_evidence","pending_evidence","pending_evidence","pending_evidence","pending_evidence","pending_evidence","pending_evidence","","","","","","","","","","","","","","","N/ATR_20_JPY_or_native;current_price_as_of_date;contract_multiplier;tick_size;minimum_quantity;initial_margin_jpy;maintenance_margin_jpy;commission_roundtrip_jpy;spread_estimate;historical_data_availability;realtime_data_entitlement_cost;symbol_level_japan_resident_eligibility","EVD-P04-0001;EVD-P04-0002;EVD-P04-0003;EVD-P04-0004;EVD-P04-0005;EVD-P04-0006;EVD-P04-0007;EVD-P04-0008;EVD-P04-0009;EVD-P04-0010;EVD-P04-0011;EVD-P04-0012;EVD-P04-0013","Required margin, N/ATR, multiplier, minimum quantity, and symbol-level eligibility are unknown; rules prohibit pass.","P06-v0.1-no-price-no-margin-strict","2026-08-02","2026-08-02T15:17:35.0009807+09:00","Feasibility and Capital Gate Analyst","No current-price-dependent numeric result was computed because critical inputs are missing. This is intentional to avoid false pass."
"GTE-P06-20260802-0001","CAN-EXP-EQ-JP-NIKKEI225-USD-FUTURE-STANDARD-CME-NIY-IBSJ","EXP-EQ-JP-NIKKEI225-USD","CLU-EXP-EQ-JP-NIKKEI225-USD","VEH-FUTURE-STANDARD-CME-NIY","NIY","CME","Interactive Brokers Securities Japan Inc.","equity_index","global_equity_japan","PG-EQ-JAPAN","Pending-evidence","pending_evidence","pending_evidence","conditional_platform_verified_symbol_pending","pending_evidence","pending_evidence","pending_evidence","pending_evidence","pending_evidence","pending_evidence","pending_evidence","pending_evidence","pending_evidence","pending_evidence","","","","","","","","","","","","","","","N/ATR_20_JPY_or_native;current_price_as_of_date;contract_multiplier;tick_size;minimum_quantity;initial_margin_jpy;maintenance_margin_jpy;commission_roundtrip_jpy;spread_estimate;historical_data_availability;realtime_data_entitlement_cost;symbol_level_japan_resident_eligibility","EVD-P04-0001;EVD-P04-0002;EVD-P04-0003;EVD-P04-0004;EVD-P04-0005;EVD-P04-0006;EVD-P04-0007;EVD-P04-0008;EVD-P04-0009;EVD-P04-0010;EVD-P04-0011;EVD-P04-0012;EVD-P04-0013","Required margin, N/ATR, multiplier, minimum quantity, and symbol-level eligibility are unknown; rules prohibit pass.","P06-v0.1-no-price-no-margin-strict","2026-08-02","2026-08-02T15:17:35.0009807+09:00","Feasibility and Capital Gate Analyst","No current-price-dependent numeric result was computed because critical inputs are missing. This is intentional to avoid false pass."
